optimizer,epoch,loss,accuracy,f1_score
ADAMW,37,0.41407891227722166,86.638,0.8660501917492969
ADAMW,38,0.40806453679084775,86.602,0.865803394592449
ADAMW,39,0.4061767176246643,86.664,0.8663905154403254
ADAMW,40,0.3963367080676556,86.958,0.8692515688828852
ADAMW,41,0.3986293060684204,86.926,0.8690577396641588
ADAMW,42,0.3978645800971985,87.008,0.8699205188144008
ADAMW,43,0.39193883687973025,87.288,0.8726455253188135
ADAMW,44,0.37810462893247604,87.578,0.8755294390079827
ADAMW,45,0.37619668167114256,87.55,0.8752986678206248
ADAMW,46,0.3768096397686005,87.674,0.8765063104099335
ADAMW,47,0.37377406307220457,87.628,0.8761466944573906
ADAMW,48,0.37002628764629364,87.9,0.8788546399821872
ADAMW,49,0.36738119470596314,88.008,0.8799071752564045
ADAMW,50,0.3678294002532959,88.026,0.8800801111690554
